Sentence,Label
I have three assignments due tomorrow and no time to finish them.,stress
Exams are approaching and I feel completely unprepared.,stress
I can't balance my part-time job and studies anymore.,stress
Group projects make me anxious because no one contributes equally.,stress
I often stay up all night just to keep up with deadlines.,stress
The pressure to get good grades is overwhelming.,stress
I feel exhausted from back-to-back lectures and labs.,stress
Managing both internships and coursework is too much.,stress
I am stressed about my future career and whether I'll get placed.,stress
Missing one lecture feels like falling behind completely.,stress
My financial problems make it hard to focus on studies.,stress
I feel homesick and lonely in the hostel.,stress
I get anxious before every presentation.,stress
The syllabus is too vast to cover before exams.,stress
I feel burnt out by continuous online classes.,stress
Peer pressure to excel makes me nervous.,stress
My sleep schedule is completely ruined by study load.,stress
I worry constantly about disappointing my parents.,stress
It's difficult to manage extracurricular activities with academics.,stress
I feel stressed when I compare myself to other students.,stress
The internship deadlines overlap with my semester exams.,stress
I feel nervous whenever the professor announces a surprise quiz.,stress
Keeping track of multiple projects is draining my energy.,stress
I am always anxious during lab submissions.,stress
There's too much competition for limited placements.,stress
I often skip meals to complete assignments on time.,stress
My grades are slipping despite studying hard.,stress
I feel overwhelmed when professors assign too many tasks at once.,stress
Excessive screen time during online classes gives me headaches.,stress
I panic when I cannot understand a topic before exams.,stress
I'm constantly worried about my attendance shortage.,stress
Preparing for competitive exams along with college is stressful.,stress
Balancing club activities and studies leaves me exhausted.,stress
I feel mentally drained after continuous study sessions.,stress
Staying in hostel makes it harder to focus on academics.,stress
I feel pressure when my peers score better marks.,stress
Family expectations make it difficult for me to relax.,stress
Daily commute to college consumes too much energy.,stress
I feel insecure about my performance in group discussions.,stress
I worry when I don't participate actively in class.,stress
Managing deadlines for coding contests is stressful.,stress
I often forget things due to too much workload.,stress
Late-night study sessions make me tired all day.,stress
The constant notifications from class groups make me anxious.,stress
Submitting projects online is confusing and stressful.,stress
I feel nervous about viva examinations.,stress
My lack of concentration wastes study hours.,stress
Balancing hobbies with academics feels impossible.,stress
I feel tense when professors criticize my work.,stress
Time management has become my biggest struggle.,stress
I enjoy studying with friends in the library.,calm
Going for a walk after class helps me relax.,calm
I feel motivated when I organize my study schedule.,calm
Meditation sessions at the campus keep me calm.,calm
I like participating in cultural events for fun.,calm
Spending weekends with my hostel friends is refreshing.,calm
I feel peaceful when I listen to music after studying.,calm
Playing sports helps me manage academic pressure.,calm
I enjoy attending guest lectures on topics I love.,calm
My professors are supportive and approachable.,calm
I feel relaxed when I sketch during free time.,calm
The campus garden is my favorite place to unwind.,calm
Having a balanced daily routine makes me happy.,calm
I feel positive after finishing my assignments early.,calm
Volunteering in college fests gives me joy.,calm
I enjoy evening tea breaks with my classmates.,calm
Practicing yoga helps me feel more centered.,calm
I feel proud when I help juniors with their doubts.,calm
Attending music club practice makes me cheerful.,calm
I stay calm when I plan ahead for exams.,calm
I enjoy morning jogs around the campus track.,calm
Cooking with friends in the hostel makes me happy.,calm
I feel good when I participate in debate competitions.,calm
Playing guitar relaxes me after lectures.,calm
